P(lapela|family in) = 1.011660
P(in|family living) = 1.011660
P(|family tradition) = 1.011660
P(the|family with) = 1.011660
P(with|family) = 0.252881
P(as|far north) = 1.011660
P(north|far) = 1.011525
P(one|father was) = 1.011660
P(was|father) = 1.011525
P(him|fell on) = 1.011660
P(on|fell) = 1.011525
P(portuguese|fernandes another) = 1.011660
P(another|fernandes) = 1.011525
P(s|ferrer cabrilho) = 1.011660
P(cabrilho|ferrer) = 1.011525
P(in|few locations) = 1.011660
P(locations|few) = 1.011525
P(way|find a) = 1.011660
P(mythical|find the) = 1.011660
P(the|find) = 0.505763
P(mar|firme del) = 1.011660
P(del|firme) = 1.011525
P(to|first european) = 1.011660
P(of|first settlers) = 1.011660
P(settlers|first) = 0.505763
P(his|flagship of) = 1.011660
P(sending|flagship on) = 1.011660
P(salvador|flagship san) = 1.011660
P(san|flagship) = 0.337175
P(back|fleet arrived) = 1.011660
P(of|fleet part) = 1.011660
P(from|fleet sailed) = 1.011660
P(largest|fleet second) = 1.011660
P(the|fleet spent) = 1.011660
P(discovered|fleet that) = 1.011660
P(next|fleet the) = 1.011660
P(sent|fleet was) = 1.011660
P(was|fleet) = 0.112392
P(expedition|fog the) = 1.011660
P(the|fog) = 1.011525
P(s|following alvarado) = 1.011660
P(they|following day) = 1.011660
P(day|following) = 0.505763
P(he|for centuries) = 1.011660
P(as|for havana) = 1.011660
P(s|for herrera) = 1.011660
P(of|for investigations) = 1.011660
P(|for study) = 1.011660
P(next|for the) = 0.337220
P(the|for) = 0.379322
P(to|forced them) = 1.011660
P(them|forced) = 1.011525
P(hern|forces with) = 1.011660
P(with|forces) = 1.011525
P(san|found on) = 1.011660
P(on|found) = 1.011525
P(bergantin|fragata or) = 1.011660
P(or|fragata) = 1.011525
P(a|francisco bay) = 1.011660
P(ulloa|francisco de) = 0.505830
P(de|francisco) = 0.674350
P(by|frequently shrouded) = 1.011660
P(shrouded|frequently) = 1.011525
P(1532|from a) = 1.011660
P(el|from acajutla) = 1.011660
P(savona|from albissola) = 1.011660
P(trade|from any) = 1.011660
P(tongva|from attacking) = 1.011660
P(with|from navidad) = 1.011660
P(spain|from new) = 1.011660
P(and|from spain) = 1.011660
P(indigenous|from the) = 1.011660
P(the|from) = 0.112392
P(of|full extent) = 1.011660
P(extent|full) = 1.011525
P(smoke|fumos english) = 1.011660
P(english|fumos) = 1.011525
P(of|galego house) = 1.011660
P(house|galego) = 1.011525
P(s|galera cabrillo) = 1.011660
P(cabrillo|galera) = 1.011525
P(casa|galician and) = 0.505830
P(and|galician) = 1.011525
P(flagship|galleon and) = 1.011660
P(and|galleon) = 1.011525
P(he|gangrene and) = 1.011660
P(and|gangrene) = 1.011525
P(cabrilho|garrison suggesting) = 1.011660
P(suggesting|garrison) = 1.011525
P(to|gave strength) = 1.011660
P(strength|gave) = 1.011525
P(los|general de) = 1.011660
P(de|general) = 1.011525
P(|genoa) = 1.011525
P(the|going up) = 1.011660
P(up|going) = 1.011525
P(guatemala|gold in) = 1.011660
P(of|gold mines) = 1.011660
P(mines|gold) = 0.505763
P(study|government for) = 1.011660
P(for|government) = 1.011525
P(of|great crowd) = 1.011660
P(crowd|great) = 1.011525
P(him|guatemala made) = 1.011660
P(him|guatemala with) = 1.011660
P(with|guatemala) = 0.505763
P(portuguese|guez cabrillo) = 1.011660
P(s|guez portugu) = 1.011660
P(portugu|guez) = 0.505763
P(california|gulf of) = 1.011660
P(of|gulf) = 1.011525
P(to|had access) = 1.011660
P(commissioned|had been) = 0.505830
P(baja|had passed) = 1.011660
P(passed|had) = 0.252881
P(bay|harbor a) = 1.011660
P(a|harbor) = 1.011525
P(he|harry kelsey) = 1.011660
P(kelsey|harry) = 1.011525
P(debated|has been) = 1.011660
P(been|has) = 1.011525
P(a|havana as) = 1.011660
P(as|havana) = 1.011525
P(claimed|have been) = 1.011660
P(believed|have long) = 1.011660
P(as|have reached) = 1.011660
P(reached|have) = 0.337175
P(legitimacy|having some) = 1.011660
P(some|having) = 1.011525
P(francisco|he accompanied) = 1.011660
P(on|he died) = 1.011660
P(in|he landed) = 1.011660
P(beatriz|he married) = 1.011660
P(san|he named) = 1.011660
P(santa|he reached) = 1.011660
P(onto|he stumbled) = 1.011660
